Date,Time,Open,High,Low,Close,Volume
2017.03.24,0:00,1.0782,1.08175,1.07599,1.07978,111546
2017.03.27,0:00,1.08331,1.09055,1.08262,1.08631,122915
2017.03.28,0:00,1.08623,1.08721,1.07983,1.08113,102874
2017.03.29,0:00,1.08113,1.0826,1.07395,1.07639,112150
2017.03.30,0:00,1.07644,1.07693,1.06716,1.06736,107064
2017.03.31,0:00,1.06728,1.07013,1.065,1.065,108461
2017.04.03,0:00,1.06613,1.06807,1.0642,1.06682,89088
2017.04.04,0:00,1.06682,1.06766,1.06352,1.06728,74667
2017.04.05,0:00,1.06721,1.06886,1.06343,1.06622,84275
2017.04.06,0:00,1.06616,1.06837,1.06285,1.06435,83823
2017.04.07,0:00,1.06429,1.06659,1.05802,1.05889,104359
2017.04.10,0:00,1.05868,1.06061,1.05692,1.0595,69154
2017.04.11,0:00,1.05943,1.06296,1.05781,1.06036,70428
2017.04.12,0:00,1.06035,1.06746,1.05883,1.06648,80428
2017.04.13,0:00,1.06625,1.06771,1.06086,1.06127,79872
2017.04.14,0:00,1.06126,1.06292,1.06055,1.06105,154795
2017.04.17,0:00,1.06157,1.06698,1.06025,1.06411,59354
2017.04.18,0:00,1.06414,1.07355,1.06367,1.07295,97930
2017.04.19,0:00,1.07283,1.07365,1.06994,1.07092,84733
2017.04.20,0:00,1.07093,1.07771,1.07083,1.07164,86050
2017.04.21,0:00,1.07151,1.07376,1.06818,1.07248,84144
2017.04.24,0:00,1.09174,1.09176,1.08204,1.08664,123176
2017.04.25,0:00,1.08664,1.09495,1.08509,1.0925,99239
2017.04.26,0:00,1.09241,1.09499,1.08551,1.09029,116767
2017.04.27,0:00,1.09027,1.09323,1.08513,1.08712,109386
2017.04.28,0:00,1.08711,1.09469,1.08564,1.08924,104231
2017.05.01,0:00,1.09097,1.09234,1.08837,1.08978,60643
2017.05.02,0:00,1.08977,1.09328,1.08875,1.09298,86070
2017.05.03,0:00,1.09279,1.09364,1.08825,1.08846,92217
2017.05.04,0:00,1.08841,1.09867,1.08743,1.09838,109839
2017.05.05,0:00,1.0982,1.09994,1.09488,1.09968,85472
2017.05.08,0:00,1.10183,1.10208,1.09159,1.09236,90691
2017.05.09,0:00,1.09234,1.09331,1.08632,1.08726,81025
2017.05.10,0:00,1.08726,1.08977,1.0853,1.08656,88315
2017.05.11,0:00,1.08667,1.08927,1.08389,1.08606,89053
2017.05.12,0:00,1.08608,1.09336,1.08554,1.09304,97578
2017.05.15,0:00,1.09299,1.0989,1.09221,1.09745,97569
2017.05.16,0:00,1.09727,1.1097,1.09723,1.10819,116436
2017.05.17,0:00,1.10819,1.11619,1.10801,1.1158,130786
2017.05.18,0:00,1.11578,1.11717,1.10754,1.11012,155431
2017.05.19,0:00,1.11005,1.12115,1.10962,1.12059,105331
2017.05.22,0:00,1.11947,1.12632,1.11612,1.12368,103249
2017.05.23,0:00,1.12352,1.12678,1.11747,1.11819,127503
2017.05.24,0:00,1.11809,1.12198,1.11682,1.12179,118548
2017.05.25,0:00,1.12179,1.12498,1.11934,1.12098,94582
2017.05.26,0:00,1.12099,1.12343,1.11602,1.11824,101553
2017.05.29,0:00,1.11717,1.11896,1.11614,1.11625,51048
2017.05.30,0:00,1.11621,1.12049,1.11092,1.11852,100990
2017.05.31,0:00,1.11851,1.12519,1.11642,1.12426,108780
2017.06.01,0:00,1.12428,1.12564,1.12018,1.1212,93600
2017.06.02,0:00,1.12105,1.12848,1.12046,1.12793,93939
2017.06.05,0:00,1.12716,1.12836,1.1234,1.12537,78489
2017.06.06,0:00,1.12537,1.12836,1.12401,1.12768,88232
2017.06.07,0:00,1.12752,1.12823,1.12038,1.12557,106102
2017.06.08,0:00,1.12546,1.12687,1.11943,1.12133,120345
2017.06.09,0:00,1.12129,1.12359,1.1166,1.11941,133631
2017.06.12,0:00,1.12065,1.12318,1.11916,1.12012,84363
2017.06.13,0:00,1.12001,1.12245,1.1185,1.12098,82552
2017.06.14,0:00,1.12096,1.12955,1.11927,1.1217,142860
2017.06.15,0:00,1.12168,1.12283,1.11318,1.11431,123163
2017.06.16,0:00,1.11427,1.12013,1.11382,1.11955,93512
2017.06.19,0:00,1.12058,1.12126,1.11429,1.11475,84636
2017.06.20,0:00,1.11475,1.11647,1.11185,1.11336,100905
2017.06.21,0:00,1.11317,1.11688,1.1127,1.11675,84741
2017.06.22,0:00,1.11674,1.11776,1.11391,1.11509,57507
2017.06.23,0:00,1.11484,1.12085,1.11449,1.11903,48374
2017.06.26,0:00,1.11967,1.12195,1.11715,1.11808,82110
2017.06.27,0:00,1.11719,1.1349,1.11717,1.13371,95953
2017.06.28,0:00,1.13367,1.13905,1.12911,1.13762,119213
2017.06.29,0:00,1.13761,1.14452,1.1374,1.14399,107289
2017.06.30,0:00,1.14395,1.1445,1.13918,1.14243,106101
2017.07.03,0:00,1.14165,1.14265,1.13548,1.13631,74799
2017.07.04,0:00,1.13632,1.13766,1.13357,1.13438,78081
2017.07.05,0:00,1.13463,1.13683,1.13121,1.13504,89225
2017.07.06,0:00,1.13518,1.14245,1.13295,1.14203,88637
2017.07.07,0:00,1.14211,1.14394,1.13792,1.13984,93927
2017.07.10,0:00,1.13958,1.14179,1.13813,1.13987,63255
2017.07.11,0:00,1.13984,1.14793,1.13825,1.14668,81562
2017.07.12,0:00,1.14668,1.14892,1.13915,1.14109,105472
2017.07.13,0:00,1.14104,1.14556,1.13702,1.1397,95758
2017.07.14,0:00,1.13971,1.14714,1.13911,1.14676,89363
2017.07.17,0:00,1.14727,1.14868,1.14344,1.14773,91842
2017.07.18,0:00,1.14781,1.15829,1.14712,1.15537,125801
2017.07.19,0:00,1.15536,1.15557,1.15097,1.15143,86867
2017.07.20,0:00,1.15137,1.16578,1.14789,1.16297,130621
2017.07.21,0:00,1.16301,1.16824,1.16188,1.1662,102422
2017.07.24,0:00,1.16624,1.16839,1.16259,1.16401,91249
2017.07.25,0:00,1.16431,1.17118,1.16305,1.16458,109644
2017.07.26,0:00,1.16482,1.17395,1.16127,1.17322,114569
2017.07.27,0:00,1.17322,1.17764,1.16498,1.16751,132293
